弹幕,重复次数
还吃北海道鱼吗嘻嘻,49.0
只想说一句，出来混，日本迟早是要还的。,49.0
北海道辐射鱼,49.0
没有用，接续排海，任何数据都不注意支持不排海，懂得自然懂,49.0
能不能向日本用兵啊。。。,49.0
他自己的渔场就没了,49.0
原来EVA是纪录片啊！,49.0
口嗨有什么用宣战啊,49.0
一些科幻作品再也不是虚拟的了,49.0
我国已经遭受了核袭击，为什么不采取防御性的核反击,49.0
让日本二鬼子把污水都喝干净,49.0
灭掉日本，谁说极端的请去喝核污染水。,49.0
地球ol新副本正在加载中……,49.0
一个公司真能毁灭全世界,49.0
核使徒、袭来,49.0
灭掉日本政府,49.0
没有美国默许，狗儿子哪敢,49.0
一个与全世界为敌的国家还有存在的必要吗,49.0
美日狼狈为奸祸害全世界,49.0
又能怎么样呢？,49.0
受到影响最大的可能还是中国,49.0
受之于大海却伤害大海，不愧是卑贱的日本人,49.0
核污染不能稀释,49.0
保护地球！保护地球！保护地球！保护海洋！保护海洋！地球可以没有日本，但是不能没有海洋！,49.0
我就看看哥斯拉什么时候出现,49.0
这下真使徒来袭了,49.0
能不能气候变暖，冰川融化，直接吧呀的淹了,49.0
干他,49.0
这下是真的使徒来袭了。。。,49.0
初中地理多出名的北海道渔场啊,49.0
创造历史,49.0
上世纪没占领世界这世纪以这为借口是吧,49.0
这下使徒真要来了,49.0
日本该死啊,49.0
海里要生使徒力,49.0
生命之源都污染完了，银河里还有多少水,49.0
生异形了,49.0
还能学学地理？,49.0
来来来，谁去炸了日本,49.0
全地球,49.0
记者去排污口附近捞点水样检测下,49.0
小日子以有取死之道,49.0
毁灭吧累了,49.0
一股子eva味儿,49.0
让美日两国的政客喝了核污水,49.0
还有加拿大,49.0
我快气炸了可我一介草民无能为力，看见这些信息就头疼，没法解决心灰意冷！,49.0
我很好奇有些人是不是精日分子，现在不通过严正交涉的方式去解决，难道用打仗解决问题？,49.0
日本继续作，老美继续保他！,49.0
我去，又没电了。,49.0
怎么不直接放哥斯拉的主题曲,49.0
背景音乐使徒来袭 ? ? ?,49.0
见证我不想见证的历史,49.0
怎么办怎么办怎么办,49.0
氚也会蒸发到大气，参与环流，现在已经这样了,49.0
坐等哥斯拉登陆日本,49.0
小知识，日货条形码是45和49开头的。,49.0
应该没有末日那么严重，毕竟美国没说啥…,49.0
舍得一身剐 撒事都能解决,49.0
请求用氢弹轰炸福岛核电站，加速核辐射衰竭,49.0
会有哥斯拉,49.0
山川异域不共戴天,49.0
转嫁全世界,49.0
怪不得最终使徒的海是红色的,49.0
八年以后我才20岁……(悲),49.0
反人类！,49.0
会枪毙吗？,49.0
躺平了，吃好喝好，,49.0
联合国宣布：8月26日消灭日本～,49.0
越储越浓,49.0
但是奥特曼真的很好看啊  中国人个个都喜欢,49.0
怪不得日本人变态,49.0
谁还敢吃日本鱼,49.0
但是美国平民都不知道这事儿 新闻都被压下来了…,49.0
保护地球！保护海洋！保护海洋！保护地球！保护海洋！保护地球！,49.0
使徒，来袭,49.0
使徒要来了,49.0
世界第一富士山请求出战！,49.0
注意别疲劳，现在系统一直给我推这些视频，这不是好事，官方希望我们感到厌烦疲倦。请在评论的时候，把这些话带给其他同志们，一定要坚持下去​,49.0
八年后我才23,49.0
八年后我都三十几岁了,49.0
我去,49.0
总会有海中的生灵敢于直面雷霆的辐射,49.0
以后没有对日本的物理制裁的信息我是不会点赞投币的,49.0
广东慌了,49.0
以后海鲜吃不了了。打鱼的怎么办,49.0
真的看不懂啊排海了日本自己境内都接受不了，还非要排。就没人质疑做出这个决策的人的领导能力？,49.0
铯……,49.0
怎么越来越像Eva的世界。难道还会出现死海文书,49.0
要采取行动啊,49.0
小日子，工匠精神！！！！,49.0
山核大逝,49.0
背后是美国政府，傻子都知道,49.0
我们该怎么告诉我们的后代海洋是蓝色的……,49.0
等人类都变异在宣战？,49.0
漂亮国快发力啊,49.0
世界末日差不多,49.0
我们要死光了,49.0
坏消息：初号机要没电啦 好消息：使徒就是初号机自己,49.0
怎么没见印度发信息,49.0
全  世  界,49.0
我有一个问题，日本有没有可能举国搬迁？,49.0
必须阻止它！,49.0
永不妥协,49.0
抵制小八嘎所有东西！！！,49.0
海洋啊海洋，日本美国对不起你啊，惩罚它们吧,49.0
你可能活不到八年后,49.0
抵制小八嘎所有东西！！！   ,49.0
哥斯拉，想我了吗？,49.0
抵制小八嘎所有东西！！！       ,49.0
牛,49.0
有啥用呢又没能力阻止,49.0
保护海洋，保护海洋生物,49.0
保护海洋，消灭日本人,49.0
有啥用啊，现在就剩打打嘴炮了,49.0
抵制小八嘎所有东西！！  ！！  ,49.0
保护海洋与地球！,49.0
涨洪水给他们自己家里也灌点,49.0
保护生态环境保护海洋,49.0
哥斯拉养殖计划,49.0
它排海之后最先受影响的就是北海道渔场，属于自己毁灭自己了，然后再拉咱们当垫背。,49.0
二冲BGM？？,49.0
保护！！！,49.0
不管哪个国家的进口海鲜都要加强检测。,49.0
有没有解决方案,49.0
我诅咒核污水只在日本岛周围转圈,49.0
犯我海洋者，虽远必诛,49.0
抵制小八嘎所有东西！！,49.0
没人想等死,49.0
米国支持小鬼子选这个时间是故意的吧转移视线，又憋别的坏水呢,49.0
中国要开始研究机甲了，哥斯拉出来了就完了,49.0
保护海洋！！还我们干净的海洋！！！！,49.0
为了人类 保护海洋,49.0
你宣传焦虑有个屁用,49.0
我们可以出兵吗？我先报名上灭了日本,49.0
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋！！！！！！！！！！！,49.0
保护海洋！！！！！抵制日本！！！！！！！,49.0
保护海洋！保护海洋！！保护海洋！！！,49.0
中国为何不出兵阻止？,49.0
哥斯拉大战不是电影,49.0
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,49.0
环太平洋来咯,49.0
